category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Security threat,1,-0.6478637373579851,0.9516929248984559,3,0.5494601663759858,-1.7248056634549171,0.4290781887389471,
Security threat,3,-0.17070682524032532,1.419180369356013,3,0.8193641682763266,-1.7766605950619256,1.4352469445812748,
Security threat,6,-0.19871356425705095,0.7897266016584289,3,0.45594886605370233,-1.0923733417223076,0.6949462132082056,
Security threat,12,0.0433550598263726,1.0228001545197076,3,0.5905139445391441,-1.1140522714703498,1.200762391123095,
Sovereignty dispute,0,-0.732402806935607,1.3381426432950108,10,0.42315785870104766,-1.5617922099896604,0.0969865961184464,
Sovereignty dispute,1,-0.5374805309770978,1.4452087111580272,10,0.4570151221575765,-1.4332301704059476,0.3582691084517521,
Sovereignty dispute,3,-0.10217696205130045,1.3078112675478935,10,0.41356623550831945,-0.91276678364760655,0.7084128595450057,
Sovereignty dispute,6,0.18589838887905813,1.2288516931908673,10,0.38859702570375665,-0.5757517815003048,0.9475485592584212,
Sovereignty dispute,12,-0.07472194737788247,1.5628734556413604,10,0.49422398144448304,-1.0434009510090692,0.8939570562533042,
Strategic partnership upgrade,0,0.33071448361829603,0.7920288973664372,22,0.16886112829286867,-2.533278357265689e-4,0.6616822950723187,
Strategic partnership upgrade,1,0.06567820351753456,1.2776922191142086,22,0.27240489639713883,-0.46823539342085757,0.5995918004559266,
Strategic partnership upgrade,3,-0.19897379935947684,1.352980928243596,22,0.28845650311701343,-0.7643485454688232,0.3664009467498695,
Strategic partnership upgrade,6,0.0036914390165829233,1.3541679026907791,22,0.28870956691944866,-0.5621793121455364,0.5695621901787024,
Strategic partnership upgrade,12,-0.14810459269110943,1.339697812902997,21,0.2923460302854653,-0.7211028120506214,0.4248936266684026,
Tech control / export restriction,0,-0.618726911244288,1.0239264510848238,11,0.30872544101532295,-1.223828775634321,-0.01362504685425503,*
Tech control / export restriction,1,-0.27871229191851843,1.3130266203237737,11,0.39589242176021777,-1.0546614385685453,0.49723685473150836,
Tech control / export restriction,3,-0.1945665952736781,1.0125170500470342,11,0.3052853771675921,-0.7929259345221586,0.4037927439748024,
Tech control / export restriction,6,-0.3809472447864411,0.7183557637227866,11,0.21659241220524367,-0.8054683727087186,0.04357388313583649,
Tech control / export restriction,12,-0.32023296313828986,0.9264216614013655,11,0.2793266407750914,-0.867713179057469,0.2272472527808893,
