country,avg_shock,db,node,config
Australia,-0.31435743083804396,GDELT,US-China Phase One deal signed,baseline
Belgium,-0.10556261200557958,GDELT,US-China Phase One deal signed,baseline
Brazil,-0.6080865178551612,GDELT,US-China Phase One deal signed,baseline
Canada,0.3690196253901465,GDELT,US-China Phase One deal signed,baseline
France,-1.2036905290052102,GDELT,US-China Phase One deal signed,baseline
Germany,-0.6779732179542536,GDELT,US-China Phase One deal signed,baseline
India,-0.8247157454501208,GDELT,US-China Phase One deal signed,baseline
Indonesia,-0.8205063606335329,GDELT,US-China Phase One deal signed,baseline
Iran,-0.6960792838982071,GDELT,US-China Phase One deal signed,baseline
Italy,-0.18814661961506884,GDELT,US-China Phase One deal signed,baseline
Japan,-0.5920976796598322,GDELT,US-China Phase One deal signed,baseline
Malaysia,0.2422009334356219,GDELT,US-China Phase One deal signed,baseline
Mexico,-0.5431446017873525,GDELT,US-China Phase One deal signed,baseline
Netherlands,0.008921420855127083,GDELT,US-China Phase One deal signed,baseline
Philippines,-0.06725010738303802,GDELT,US-China Phase One deal signed,baseline
Russia,-1.248333934494918,GDELT,US-China Phase One deal signed,baseline
Saudi Arabia,0.261189945168888,GDELT,US-China Phase One deal signed,baseline
Singapore,-0.929384812903007,GDELT,US-China Phase One deal signed,baseline
South Korea,-0.4385672165324554,GDELT,US-China Phase One deal signed,baseline
Spain,0.3306068499705356,GDELT,US-China Phase One deal signed,baseline
Thailand,-0.46321456290718893,GDELT,US-China Phase One deal signed,baseline
United Arab Emirates,-0.28713271472038254,GDELT,US-China Phase One deal signed,baseline
United Kingdom,-0.2731325369921035,GDELT,US-China Phase One deal signed,baseline
Vietnam,-0.2317356256829773,GDELT,US-China Phase One deal signed,baseline
Australia,-0.9519051310485441,GDELT,COVID-19 Blame,baseline
Belgium,-0.2819980721099435,GDELT,COVID-19 Blame,baseline
Brazil,-0.7753903908264694,GDELT,COVID-19 Blame,baseline
Canada,-0.03919100402203662,GDELT,COVID-19 Blame,baseline
France,-0.7991568195502571,GDELT,COVID-19 Blame,baseline
Germany,-0.06844437315454716,GDELT,COVID-19 Blame,baseline
India,-1.5067171365942438,GDELT,COVID-19 Blame,baseline
Indonesia,-0.18021756033164213,GDELT,COVID-19 Blame,baseline
Iran,-0.1756016339175953,GDELT,COVID-19 Blame,baseline
Italy,0.46148618484104864,GDELT,COVID-19 Blame,baseline
Japan,-0.6044940300268432,GDELT,COVID-19 Blame,baseline
Malaysia,0.13476456075948423,GDELT,COVID-19 Blame,baseline
Mexico,-1.1138963468809608,GDELT,COVID-19 Blame,baseline
Netherlands,0.11071781848370961,GDELT,COVID-19 Blame,baseline
Philippines,-0.18611266506269472,GDELT,COVID-19 Blame,baseline
Russia,-0.46948660347329513,GDELT,COVID-19 Blame,baseline
Saudi Arabia,1.0099848050566902,GDELT,COVID-19 Blame,baseline
Singapore,-0.424112211815,GDELT,COVID-19 Blame,baseline
South Korea,-0.39702889507713685,GDELT,COVID-19 Blame,baseline
Spain,0.7809326291860251,GDELT,COVID-19 Blame,baseline
Thailand,-0.8859647071343495,GDELT,COVID-19 Blame,baseline
United Arab Emirates,-0.23913312838696207,GDELT,COVID-19 Blame,baseline
United Kingdom,-0.21057997816249263,GDELT,COVID-19 Blame,baseline
Vietnam,-0.6278101616745481,GDELT,COVID-19 Blame,baseline
Australia,-0.004079709529301446,GDELT,Anchorage Talks,baseline
Belgium,-0.6517493511588636,GDELT,Anchorage Talks,baseline
Brazil,0.500782195582999,GDELT,Anchorage Talks,baseline
Canada,-0.4443898545241011,GDELT,Anchorage Talks,baseline
France,-0.04098336896470555,GDELT,Anchorage Talks,baseline
Germany,0.26157394279446555,GDELT,Anchorage Talks,baseline
India,0.392669035939419,GDELT,Anchorage Talks,baseline
Indonesia,0.3998993740458223,GDELT,Anchorage Talks,baseline
Iran,0.4613573414696819,GDELT,Anchorage Talks,baseline
Italy,0.012712533814944693,GDELT,Anchorage Talks,baseline
Japan,-0.8047976433800336,GDELT,Anchorage Talks,baseline
Malaysia,-0.5016546032443281,GDELT,Anchorage Talks,baseline
Mexico,-0.2503827692293841,GDELT,Anchorage Talks,baseline
Netherlands,-0.378581765314262,GDELT,Anchorage Talks,baseline
Philippines,-0.3566098293157747,GDELT,Anchorage Talks,baseline
Russia,0.7777078251929799,GDELT,Anchorage Talks,baseline
Saudi Arabia,0.3907751321136287,GDELT,Anchorage Talks,baseline
Singapore,-0.29865255836615334,GDELT,Anchorage Talks,baseline
South Korea,-0.3072351785993137,GDELT,Anchorage Talks,baseline
Spain,-0.0771324170779031,GDELT,Anchorage Talks,baseline
Thailand,-0.3268311508496166,GDELT,Anchorage Talks,baseline
United Arab Emirates,0.193970005142188,GDELT,Anchorage Talks,baseline
United Kingdom,0.2725232667493611,GDELT,Anchorage Talks,baseline
Vietnam,-0.7155996304176838,GDELT,Anchorage Talks,baseline
Australia,0.8193994201662086,GDELT,Pelosi visits Taiwan,baseline
Belgium,0.39656248852153825,GDELT,Pelosi visits Taiwan,baseline
Brazil,0.12986864151887484,GDELT,Pelosi visits Taiwan,baseline
Canada,0.390036193199663,GDELT,Pelosi visits Taiwan,baseline
France,0.20571609687034229,GDELT,Pelosi visits Taiwan,baseline
Germany,-0.5686312886659627,GDELT,Pelosi visits Taiwan,baseline
India,-0.388832124201532,GDELT,Pelosi visits Taiwan,baseline
Indonesia,-0.03271897674276895,GDELT,Pelosi visits Taiwan,baseline
Iran,-0.7019168145994377,GDELT,Pelosi visits Taiwan,baseline
Italy,0.32300272491832926,GDELT,Pelosi visits Taiwan,baseline
Japan,-0.17309456074482285,GDELT,Pelosi visits Taiwan,baseline
Malaysia,-0.2640826730755615,GDELT,Pelosi visits Taiwan,baseline
Mexico,0.567676290453728,GDELT,Pelosi visits Taiwan,baseline
Netherlands,0.21420800930015063,GDELT,Pelosi visits Taiwan,baseline
Philippines,0.3759808797957925,GDELT,Pelosi visits Taiwan,baseline
Russia,0.5410197398139793,GDELT,Pelosi visits Taiwan,baseline
Saudi Arabia,0.2158304108788065,GDELT,Pelosi visits Taiwan,baseline
Singapore,0.4808099069425166,GDELT,Pelosi visits Taiwan,baseline
South Korea,0.02022256252476175,GDELT,Pelosi visits Taiwan,baseline
Spain,0.3728217892814127,GDELT,Pelosi visits Taiwan,baseline
Thailand,1.2238751028287755,GDELT,Pelosi visits Taiwan,baseline
United Arab Emirates,0.17331169154816412,GDELT,Pelosi visits Taiwan,baseline
United Kingdom,0.08095205264903944,GDELT,Pelosi visits Taiwan,baseline
Vietnam,0.3790939708496494,GDELT,Pelosi visits Taiwan,baseline
Australia,0.13122374364272033,GDELT,Biden hikes tariffs on China EVs,baseline
Belgium,-0.1866410283974242,GDELT,Biden hikes tariffs on China EVs,baseline
Brazil,-0.4828756364631769,GDELT,Biden hikes tariffs on China EVs,baseline
Canada,-0.08275741151127892,GDELT,Biden hikes tariffs on China EVs,baseline
France,-0.812674052408376,GDELT,Biden hikes tariffs on China EVs,baseline
Germany,-0.9157784347785913,GDELT,Biden hikes tariffs on China EVs,baseline
India,0.057776522239015755,GDELT,Biden hikes tariffs on China EVs,baseline
Indonesia,-0.3188927462871465,GDELT,Biden hikes tariffs on China EVs,baseline
Iran,0.9366571558912746,GDELT,Biden hikes tariffs on China EVs,baseline
Italy,-0.7363275140411376,GDELT,Biden hikes tariffs on China EVs,baseline
Japan,-0.05228939732150222,GDELT,Biden hikes tariffs on China EVs,baseline
Malaysia,-0.23005297453043724,GDELT,Biden hikes tariffs on China EVs,baseline
Mexico,0.23695816454125046,GDELT,Biden hikes tariffs on China EVs,baseline
Netherlands,-0.6956156768176648,GDELT,Biden hikes tariffs on China EVs,baseline
Philippines,-0.44368139881817703,GDELT,Biden hikes tariffs on China EVs,baseline
Russia,0.32096499149663893,GDELT,Biden hikes tariffs on China EVs,baseline
Saudi Arabia,0.30534276494750423,GDELT,Biden hikes tariffs on China EVs,baseline
Singapore,-0.23200496696567222,GDELT,Biden hikes tariffs on China EVs,baseline
South Korea,0.4078570785432246,GDELT,Biden hikes tariffs on China EVs,baseline
Spain,-0.2573781959108893,GDELT,Biden hikes tariffs on China EVs,baseline
