country,avg_shock,db,node,valence,node_date
Saudi Arabia,-0.3126348082943247,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Singapore,0.35568998855462264,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
South Korea,-0.35505587868482336,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Spain,0.32197352423425585,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Thailand,0.582334162158633,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
United Arab Emirates,0.0928251314228868,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
United Kingdom,0.13096736078451568,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Vietnam,0.07192437555705226,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Australia,-0.5959849721138072,GDELT,US-China Phase One deal signed,positive,2020-01-01
Belgium,0.003855707270376937,GDELT,US-China Phase One deal signed,positive,2020-01-01
Brazil,-1.083724821614285,GDELT,US-China Phase One deal signed,positive,2020-01-01
Canada,0.566666249536293,GDELT,US-China Phase One deal signed,positive,2020-01-01
France,-0.7977635773083864,GDELT,US-China Phase One deal signed,positive,2020-01-01
Germany,-0.07240125703373738,GDELT,US-China Phase One deal signed,positive,2020-01-01
India,-1.4074509902456047,GDELT,US-China Phase One deal signed,positive,2020-01-01
Indonesia,-0.8524645709319304,GDELT,US-China Phase One deal signed,positive,2020-01-01
Iran,-0.8426149562259684,GDELT,US-China Phase One deal signed,positive,2020-01-01
Italy,-0.3424761722027904,GDELT,US-China Phase One deal signed,positive,2020-01-01
Japan,-0.5244065610973107,GDELT,US-China Phase One deal signed,positive,2020-01-01
Malaysia,0.4562018484272278,GDELT,US-China Phase One deal signed,positive,2020-01-01
Mexico,-1.2735629168430609,GDELT,US-China Phase One deal signed,positive,2020-01-01
Netherlands,-0.14438959076273333,GDELT,US-China Phase One deal signed,positive,2020-01-01
Philippines,-0.13824165339466685,GDELT,US-China Phase One deal signed,positive,2020-01-01
Russia,-0.8292958669317206,GDELT,US-China Phase One deal signed,positive,2020-01-01
Saudi Arabia,0.6635115414762883,GDELT,US-China Phase One deal signed,positive,2020-01-01
Singapore,-1.0167314129021054,GDELT,US-China Phase One deal signed,positive,2020-01-01
South Korea,-0.8857917762170727,GDELT,US-China Phase One deal signed,positive,2020-01-01
Spain,0.6512910714752199,GDELT,US-China Phase One deal signed,positive,2020-01-01
Thailand,-0.5493634040113848,GDELT,US-China Phase One deal signed,positive,2020-01-01
United Arab Emirates,-0.3932140750589413,GDELT,US-China Phase One deal signed,positive,2020-01-01
United Kingdom,0.23664322953557484,GDELT,US-China Phase One deal signed,positive,2020-01-01
Vietnam,-0.3748913338699959,GDELT,US-China Phase One deal signed,positive,2020-01-01
Australia,-1.1878391350297917,GDELT,COVID-19 Blame,negative,2020-03-01
Belgium,-0.44251913193592507,GDELT,COVID-19 Blame,negative,2020-03-01
Brazil,-0.7613655742199302,GDELT,COVID-19 Blame,negative,2020-03-01
Canada,-0.201138463364689,GDELT,COVID-19 Blame,negative,2020-03-01
France,-0.43360033576676826,GDELT,COVID-19 Blame,negative,2020-03-01
Germany,0.22129856400999373,GDELT,COVID-19 Blame,negative,2020-03-01
India,-1.8654544197006715,GDELT,COVID-19 Blame,negative,2020-03-01
Indonesia,0.6577950348266137,GDELT,COVID-19 Blame,negative,2020-03-01
Iran,-0.003522492469937379,GDELT,COVID-19 Blame,negative,2020-03-01
Italy,0.8380433236520562,GDELT,COVID-19 Blame,negative,2020-03-01
Japan,-0.5827802930617574,GDELT,COVID-19 Blame,negative,2020-03-01
