ISO,Country,trade,variable,estimate,se,pval,sig,trade_label,sensitivity
JP,Japan,Trade_Total,Event_Positive,-0.000354559547651758,0.0252343879557158,0.988789572332042,"",总贸易,0.0150706279344704
JP,Japan,Trade_Total,Event_Negative,0.0147160683868186,0.0086137109453137,0.0875534377500002,*,总贸易,0.0150706279344704
JP,Japan,Trade_Exports,Event_Positive,-0.0295884371644156,0.0209456276942012,0.157764331095194,"",出口,0.0150706279344704
JP,Japan,Trade_Exports,Event_Negative,0.0160401483219483,0.00952016757995254,0.0920156104035365,*,出口,0.0150706279344704
JP,Japan,Trade_Imports,Event_Positive,0.0380100259576426,0.0366827986083463,0.300117619872309,"",进口,0.0150706279344704
JP,Japan,Trade_Imports,Event_Negative,0.0168016095363312,0.011372307099803,0.139564605765783,"",进口,0.0150706279344704
KR,South Korea,Trade_Total,Event_Positive,0.0499068437177531,0.0184082945356664,0.00670591193465703,***,总贸易,-0.0452732557867705
KR,South Korea,Trade_Total,Event_Negative,0.00463358793098258,0.0154563791316028,0.764341290282328,"",总贸易,-0.0452732557867705
KR,South Korea,Trade_Exports,Event_Positive,0.0180487112305931,0.0112382843037446,0.108273389145771,"",出口,-0.0452732557867705
KR,South Korea,Trade_Exports,Event_Negative,-0.0121592848746304,0.0183387608158395,0.507306580946209,"",出口,-0.0452732557867705
KR,South Korea,Trade_Imports,Event_Positive,0.079701032244842,0.0284781439226495,0.00513129631499352,***,进口,-0.0452732557867705
KR,South Korea,Trade_Imports,Event_Negative,0.00629758628645837,0.0170288933263562,0.711518320716006,"",进口,-0.0452732557867705
MX,Mexico,Trade_Total,Event_Positive,-0.127297929359377,0.0151134687305,3.67549116548255e-17,***,总贸易,0.287907451948323
MX,Mexico,Trade_Total,Event_Negative,0.160609522588946,0.0281662906212595,1.18278330156801e-08,***,总贸易,0.287907451948323
MX,Mexico,Trade_Exports,Event_Positive,-0.147364306354892,0.0154467344061205,1.42613129242961e-21,***,出口,0.287907451948323
MX,Mexico,Trade_Exports,Event_Negative,0.170711165825933,0.0336908951732637,4.04172080790333e-07,***,出口,0.287907451948323
MX,Mexico,Trade_Imports,Event_Positive,-0.0436964433553564,0.020228312693546,0.0307600888470417,**,进口,0.287907451948323
MX,Mexico,Trade_Imports,Event_Negative,0.0493084418753156,0.0354889051423449,0.164709805207651,"",进口,0.287907451948323
MY,Malaysia,Trade_Total,Event_Positive,0.124315899638395,0.0226779438973486,4.21025623921753e-08,***,总贸易,-0.282314523980597
MY,Malaysia,Trade_Total,Event_Negative,-0.157998624342202,0.0203047817070696,7.17543611251977e-15,***,总贸易,-0.282314523980597
MY,Malaysia,Trade_Exports,Event_Positive,0.168098408280742,0.0329659386661504,3.41174335745148e-07,***,出口,-0.282314523980597
