db,country,ally,category,event,post_month,shock
GDELT,Canada,US Ally,Strategic partnership upgrade,Canada-China strategic partnership announced,1,1.16286197375865
GDELT,Canada,US Ally,Strategic partnership upgrade,Canada-China strategic partnership announced,3,-0.7646048427349296
GDELT,Canada,US Ally,Strategic partnership upgrade,Canada-China strategic partnership announced,6,0.2313986445067696
GDELT,Canada,US Ally,Pandemic / disaster shock,China bans Canadian pork imports over H1N1; Canada protests,0,0.9581148173530211
GDELT,Canada,US Ally,Pandemic / disaster shock,China bans Canadian pork imports over H1N1; Canada protests,1,1.3157011858659875
GDELT,Canada,US Ally,Pandemic / disaster shock,China bans Canadian pork imports over H1N1; Canada protests,3,-0.009036497849449383
GDELT,Canada,US Ally,Pandemic / disaster shock,China bans Canadian pork imports over H1N1; Canada protests,6,1.0462563728765921
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China FIPA signed,0,1.4053841324248193
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China FIPA signed,1,1.2725479321765492
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China FIPA signed,3,1.8058686776249973
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China FIPA signed,6,0.6402267448225555
GDELT,Canada,US Ally,Detention / judicial dispute,China detains Canadians Kovrig and Spavor ('Two Michaels'),0,-2.558527121843364
GDELT,Canada,US Ally,Detention / judicial dispute,China detains Canadians Kovrig and Spavor ('Two Michaels'),1,-2.7956812797135746
GDELT,Canada,US Ally,Detention / judicial dispute,China detains Canadians Kovrig and Spavor ('Two Michaels'),3,-1.9349836885804064
GDELT,Canada,US Ally,Detention / judicial dispute,China detains Canadians Kovrig and Spavor ('Two Michaels'),6,-1.9991597227655054
GDELT,Canada,US Ally,Detention / judicial dispute,Meng Wanzhou arrested,0,-2.558527121843364
GDELT,Canada,US Ally,Detention / judicial dispute,Meng Wanzhou arrested,1,-2.7956812797135746
GDELT,Canada,US Ally,Detention / judicial dispute,Meng Wanzhou arrested,3,-1.9349836885804064
GDELT,Canada,US Ally,Detention / judicial dispute,Meng Wanzhou arrested,6,-1.9991597227655054
