方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
Germany→中国,Germany,中国,2019.0,,好感度%（四级题，1-2档）,32.0,59.4,1840,Pew Research Center,Pew_2019_34国
Germany→中国,Germany,中国,2020.0,,好感度%（四级题，1-2档）,24.5,71.4,974,Pew Research Center,Pew_2020夏_14国
Ghana→中国,Ghana,中国,2013.0,,好感度%（四级题，1-2档）,68.6,22.3,726,Pew Research Center,Pew_2013_39国
Ghana→中国,Ghana,中国,2014.0,,好感度%（四级题，1-2档）,62.7,22.2,849,Pew Research Center,Pew_2014_44国
Ghana→中国,Ghana,中国,2015.0,,影响力正面%（1-2档）,42.5,45.8,1902,Afrobarometer,R6
Ghana→中国,Ghana,中国,2017.0,,好感度%（四级题，1-2档）,50.2,26.1,862,Pew Research Center,Pew_2017_38国
Ghana→中国,Ghana,中国,2020.0,,影响力正面%（1-2档）,64.6,27.9,1721,Afrobarometer,R8
Ghana→中国,Ghana,中国,2022.0,,影响力正面%（1-2档）,30.1,57.0,2087,Afrobarometer,R9
Great Britain→中国,Great Britain,中国,2008.0,,好感度%（四级题，1-2档）,46.9,35.7,622,Pew Research Center,Pew_2008_24国
Great Britain→中国,Great Britain,中国,2009.0,,好感度%（四级题，1-2档）,52.1,29.6,616,Pew Research Center,Pew_2009春_25国
Greece→中国,Greece,中国,2012.0,,好感度%（四级题，1-2档）,55.5,38.2,937,Pew Research Center,Pew_2012_21国
Greece→中国,Greece,中国,2013.0,,好感度%（四级题，1-2档）,58.7,37.2,959,Pew Research Center,Pew_2013_39国
Greece→中国,Greece,中国,2014.0,,好感度%（四级题，1-2档）,49.2,45.6,948,Pew Research Center,Pew_2014_44国
Greece→中国,Greece,中国,2016.0,,好感度%（四级题，1-2档）,56.9,37.4,950,Pew Research Center,Pew_2016_19国
Greece→中国,Greece,中国,2017.0,,好感度%（四级题，1-2档）,52.7,38.6,778,Pew Research Center,Pew_2017_38国
Greece→中国,Greece,中国,2018.0,,好感度%（四级题，1-2档）,45.1,46.7,964,Pew Research Center,Pew_2018_27国
Greece→中国,Greece,中国,2019.0,,好感度%（四级题，1-2档）,50.5,32.1,859,Pew Research Center,Pew_2019_34国
Guinea→中国,Guinea,中国,2015.0,,影响力正面%（1-2档）,87.8,9.4,1039,Afrobarometer,R6
Guinea→中国,Guinea,中国,2020.0,,影响力正面%（1-2档）,83.6,9.6,1171,Afrobarometer,R8
Guinea→中国,Guinea,中国,2022.0,,影响力正面%（1-2档）,63.7,28.0,1126,Afrobarometer,R9
Hungary→中国,Hungary,中国,2016.0,,好感度%（四级题，1-2档）,45.4,43.7,895,Pew Research Center,Pew_2016_19国
Hungary→中国,Hungary,中国,2017.0,,好感度%（四级题，1-2档）,37.8,46.9,800,Pew Research Center,Pew_2017_38国
Hungary→中国,Hungary,中国,2018.0,,好感度%（四级题，1-2档）,42.8,47.4,904,Pew Research Center,Pew_2018_27国
Hungary→中国,Hungary,中国,2019.0,,好感度%（四级题，1-2档）,41.7,35.8,798,Pew Research Center,Pew_2019_34国
India→中国,India,中国,2005.0,,好感度%（四级题，1-2档）,56.5,20.8,1578,Pew Research Center,Pew_2005_22国
India→中国,India,中国,2006.0,,好感度%（四级题，1-2档）,47.5,39.6,1768,Pew Research Center,Pew_2006_15国
India→中国,India,中国,2008.0,,好感度%（四级题，1-2档）,45.1,44.8,1849,Pew Research Center,Pew_2008_24国
India→中国,India,中国,2009.0,,好感度%（四级题，1-2档）,45.9,39.5,1741,Pew Research Center,Pew_2009春_25国
India→中国,India,中国,2010.0,,好感度%（四级题，1-2档）,30.6,50.0,1818,Pew Research Center,Pew_2010_22国
India→中国,India,中国,2011.0,,好感度%（四级题，1-2档）,30.5,40.5,2861,Pew Research Center,Pew_2011_23国
India→中国,India,中国,2012.0,,好感度%（四级题，1-2档）,26.7,37.6,2582,Pew Research Center,Pew_2012_21国
India→中国,India,中国,2014.0,,好感度%（四级题，1-2档）,30.8,41.8,1788,Pew Research Center,Pew_2014_44国
India→中国,India,中国,2016.0,,好感度%（四级题，1-2档）,34.0,39.3,1806,Pew Research Center,Pew_2016_19国
India→中国,India,中国,2017.0,,好感度%（四级题，1-2档）,29.1,44.9,1825,Pew Research Center,Pew_2017_38国
India→中国,India,中国,2018.0,,好感度%（四级题，1-2档）,13.2,38.9,1313,Pew Research Center,Pew_2018_27国
India→中国,India,中国,2019.0,,好感度%（四级题，1-2档）,22.9,48.1,1759,Pew Research Center,Pew_2019_34国
Indonesia→中国,Indonesia,中国,2005.0,,好感度%（四级题，1-2档）,72.3,25.2,997,Pew Research Center,Pew_2005_22国
Indonesia→中国,Indonesia,中国,2006.0,,好感度%（四级题，1-2档）,64.0,30.8,969,Pew Research Center,Pew_2006_15国
Indonesia→中国,Indonesia,中国,2008.0,,好感度%（四级题，1-2档）,59.1,32.9,920,Pew Research Center,Pew_2008_24国
Indonesia→中国,Indonesia,中国,2009.0,,好感度%（四级题，1-2档）,59.2,32.6,918,Pew Research Center,Pew_2009春_25国
Indonesia→中国,Indonesia,中国,2010.0,,好感度%（四级题，1-2档）,58.5,35.3,938,Pew Research Center,Pew_2010_22国
Indonesia→中国,Indonesia,中国,2011.0,,好感度%（四级题，1-2档）,66.8,27.8,946,Pew Research Center,Pew_2011_23国
Indonesia→中国,Indonesia,中国,2013.0,,好感度%（四级题，1-2档）,70.0,24.5,945,Pew Research Center,Pew_2013_39国
Indonesia→中国,Indonesia,中国,2014.0,,好感度%（四级题，1-2档）,66.4,25.9,923,Pew Research Center,Pew_2014_44国
Indonesia→中国,Indonesia,中国,2017.0,,好感度%（四级题，1-2档）,59.5,33.5,930,Pew Research Center,Pew_2017_38国
Indonesia→中国,Indonesia,中国,2018.0,,好感度%（四级题，1-2档）,55.0,31.6,951,Pew Research Center,Pew_2018_27国
Indonesia→中国,Indonesia,中国,2019.0,,好感度%（四级题，1-2档）,38.2,34.7,883,Pew Research Center,Pew_2019_34国
Israel→中国,Israel,中国,2009.0,,好感度%（四级题，1-2档）,60.0,30.1,1081,Pew Research Center,Pew_2009春_25国
Israel→中国,Israel,中国,2011.0,,好感度%（四级题，1-2档）,58.1,35.6,850,Pew Research Center,Pew_2011_23国
Israel→中国,Israel,中国,2013.0,,好感度%（四级题，1-2档）,50.8,45.3,886,Pew Research Center,Pew_2013_39国
Israel→中国,Israel,中国,2014.0,,好感度%（四级题，1-2档）,57.1,40.6,977,Pew Research Center,Pew_2014_44国
Israel→中国,Israel,中国,2017.0,,好感度%（四级题，1-2档）,60.7,35.7,1012,Pew Research Center,Pew_2017_38国
Israel→中国,Israel,中国,2018.0,,好感度%（四级题，1-2档）,59.9,36.6,965,Pew Research Center,Pew_2018_27国
Israel→中国,Israel,中国,2019.0,,好感度%（四级题，1-2档）,68.9,22.8,893,Pew Research Center,Pew_2019_34国
Italy→中国,Italy,中国,2012.0,,好感度%（四级题，1-2档）,31.4,62.9,1013,Pew Research Center,Pew_2012_21国
Italy→中国,Italy,中国,2013.0,,好感度%（四级题，1-2档）,30.0,62.4,1022,Pew Research Center,Pew_2013_39国
Italy→中国,Italy,中国,2014.0,,好感度%（四级题，1-2档）,26.1,70.6,967,Pew Research Center,Pew_2014_44国
Italy→中国,Italy,中国,2016.0,,好感度%（四级题，1-2档）,31.2,62.1,948,Pew Research Center,Pew_2016_19国
Italy→中国,Italy,中国,2017.0,,好感度%（四级题，1-2档）,29.2,61.8,823,Pew Research Center,Pew_2017_38国
Italy→中国,Italy,中国,2018.0,,好感度%（四级题，1-2档）,30.1,60.0,940,Pew Research Center,Pew_2018_27国
Italy→中国,Italy,中国,2019.0,,好感度%（四级题，1-2档）,36.6,56.4,956,Pew Research Center,Pew_2019_34国
Italy→中国,Italy,中国,2020.0,,好感度%（四级题，1-2档）,35.4,63.8,994,Pew Research Center,Pew_2020夏_14国
Japan→中国,Japan,中国,2006.0,,好感度%（四级题，1-2档）,29.8,68.8,493,Pew Research Center,Pew_2006_15国
Japan→中国,Japan,中国,2008.0,,好感度%（四级题，1-2档）,12.9,85.5,696,Pew Research Center,Pew_2008_24国
Japan→中国,Japan,中国,2009.0,,好感度%（四级题，1-2档）,25.0,70.6,669,Pew Research Center,Pew_2009春_25国
Japan→中国,Japan,中国,2010.0,,好感度%（四级题，1-2档）,25.9,70.4,674,Pew Research Center,Pew_2010_22国
Japan→中国,Japan,中国,2011.0,,好感度%（四级题，1-2档）,32.0,63.7,670,Pew Research Center,Pew_2011_23国
Japan→中国,Japan,中国,2012.0,,好感度%（四级题，1-2档）,13.6,85.6,694,Pew Research Center,Pew_2012_21国
Japan→中国,Japan,中国,2013.0,,好感度%（四级题，1-2档）,5.7,92.7,689,Pew Research Center,Pew_2013_39国
Japan→中国,Japan,中国,2014.0,,好感度%（四级题，1-2档）,6.9,90.6,975,Pew Research Center,Pew_2014_44国
Japan→中国,Japan,中国,2016.0,,好感度%（四级题，1-2档）,10.6,86.5,971,Pew Research Center,Pew_2016_19国
Japan→中国,Japan,中国,2017.0,,好感度%（四级题，1-2档）,13.2,83.5,976,Pew Research Center,Pew_2017_38国
Japan→中国,Japan,中国,2018.0,,好感度%（四级题，1-2档）,16.1,80.5,982,Pew Research Center,Pew_2018_27国
Japan→中国,Japan,中国,2019.0,,好感度%（四级题，1-2档）,13.2,84.9,1017,Pew Research Center,Pew_2019_34国
Japan→中国,Japan,中国,2020.0,,好感度%（四级题，1-2档）,8.8,87.1,1013,Pew Research Center,Pew_2020夏_14国
Jordan→中国,Jordan,中国,2005.0,,好感度%（四级题，1-2档）,42.8,52.6,954,Pew Research Center,Pew_2005_22国
Jordan→中国,Jordan,中国,2006.0,,好感度%（四级题，1-2档）,48.1,46.5,946,Pew Research Center,Pew_2006_15国
Jordan→中国,Jordan,中国,2008.0,,好感度%（四级题，1-2档）,43.8,52.2,960,Pew Research Center,Pew_2008_24国
Jordan→中国,Jordan,中国,2009.0,,好感度%（四级题，1-2档）,49.7,49.2,989,Pew Research Center,Pew_2009春_25国
Jordan→中国,Jordan,中国,2010.0,,好感度%（四级题，1-2档）,52.4,45.6,980,Pew Research Center,Pew_2010_22国
Jordan→中国,Jordan,中国,2011.0,,好感度%（四级题，1-2档）,44.5,52.5,970,Pew Research Center,Pew_2011_23国
Jordan→中国,Jordan,中国,2012.0,,好感度%（四级题，1-2档）,46.3,50.7,970,Pew Research Center,Pew_2012_21国
Jordan→中国,Jordan,中国,2013.0,,好感度%（四级题，1-2档）,39.7,55.9,956,Pew Research Center,Pew_2013_39国
Jordan→中国,Jordan,中国,2014.0,,好感度%（四级题，1-2档）,34.8,62.9,977,Pew Research Center,Pew_2014_44国
