category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Pandemic / disaster shock,12,-0.3771940573050435,1.162592671087541,7,0.43941872625199224,-1.2384547607589482,0.4840666461488613,
Policy shift / domestic politics,0,-0.3835864516092863,1.059653257433492,5,0.4738913432400745,-1.3124134843598323,0.5452405811412597,
Policy shift / domestic politics,1,-0.25438269608403774,0.806711886153802,5,0.3607725231393945,-0.961496841437251,0.4527314492691755,
Policy shift / domestic politics,3,-0.17645469270583547,1.1776329814493882,5,0.5266534798133161,-1.208695513139935,0.8557861277282641,
Policy shift / domestic politics,6,-0.11720745036101174,0.8862873691670129,5,0.3963597610113784,-0.8940725819433134,0.6596576812212899,
Policy shift / domestic politics,12,-0.31249911012529746,0.7008768518741308,5,0.31344165692932147,-0.9268447577067676,0.30184653745617257,
Security threat,0,-0.2826996245571266,0.38195097587571974,3,0.22051949873908708,-0.7149178420857373,0.14951859297148407,
Security threat,1,-0.5004900050437909,0.6775395775031636,3,0.39117765745807687,-1.2671982136616216,0.2662182035740397,
Security threat,3,-0.18140277263838306,1.1091455476792231,3,0.6403654805230744,-1.436519114463609,1.0737135691868427,
Security threat,6,-0.19014619055658727,0.6731479809760561,3,0.3886421680209791,-0.9518848398777062,0.5715924587645318,
Security threat,12,0.012644777464067843,0.8375168457355888,3,0.4835405763362885,-0.9350947521550576,0.9603843070831933,
Sovereignty dispute,0,-0.5413858992886762,0.9696678015704154,10,0.30663588266907094,-1.1423922293200552,0.059620430742702846,
Sovereignty dispute,1,-0.4130494285361562,1.0559494394109887,10,0.3339205322516693,-1.0675336717494281,0.24143481467711558,
Sovereignty dispute,3,-0.058832662765419194,0.9208419256951161,10,0.2911957850172096,-0.62957640139915,0.5119110758683116,
Sovereignty dispute,6,0.13855307128061975,0.8010084865085886,10,0.2533011242491394,-0.3579171322476935,0.6350232748089331,
Sovereignty dispute,12,-0.04651067962577128,1.0727464845570525,10,0.339232224313893,-0.7114058392810015,0.618384480029459,
Strategic partnership upgrade,0,0.2891668992949327,0.6418327573780328,22,0.1368392036534933,0.020962060134085858,0.5573717384557796,*
Strategic partnership upgrade,1,0.05255199078355294,0.9672723963318113,22,0.2062231678089501,-0.35164541812198924,0.4567493996890951,
Strategic partnership upgrade,3,-0.13001208444180606,0.9976258485728641,22,0.21269454557060835,-0.5468933937601984,0.2868692248765863,
Strategic partnership upgrade,6,-0.03926162659278461,1.0208760828775505,22,0.21765151217980327,-0.465858590465199,0.3873353372796298,
Strategic partnership upgrade,12,-0.11968365818866152,1.0298643538176022,21,0.22473482651933074,-0.5601639181665498,0.32079660178922675,
Tech control / export restriction,0,-0.4228776153124471,0.6964613714411377,11,0.2099910045496907,-0.8344599842298408,-0.01129524639505336,*
Tech control / export restriction,1,-0.09468199627022682,0.7783947526041921,11,0.23469484846996563,-0.5546838992713594,0.3653199067309058,
Tech control / export restriction,3,-0.21432773561530635,0.7398722921336985,11,0.22307988961706338,-0.6515643192647506,0.22290884803413788,
Tech control / export restriction,6,-0.26139960877390145,0.5347113289067487,11,0.1612215317396366,-0.5773938109835892,0.054594593435786265,
Tech control / export restriction,12,-0.20671259543041637,0.599308526378767,11,0.18069831960538016,-0.5608813018569615,0.14745611099612876,
