db,version,country,event_name,category,post_month,shock
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,0,-1.0001850293553671
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,1,-0.49456803690727313
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,3,-0.37282750115854835
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,6,-0.6827652033001269
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,12,-0.9390465604571946
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,0,-0.44261736984791356
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,1,-0.6154453024659692
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,3,0.3237191513291554
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,6,0.29534675842113445
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,12,0.26694274326975187
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,0,-0.5127210901330537
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,1,-0.10867443998114096
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,3,0.5486234481311186
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,6,-3.8166567135850777
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,12,-0.6399614793802455
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,0,2.4009420547717495
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,1,1.3645398697399391
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,3,1.5880804506038455
