db,version,country,event_name,category,post_month,shock
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,3,-0.8379105897181187
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,6,0.728240481093934
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,12,0.9273244930530993
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,0,1.4126648417015613
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,1,1.8198751320172608
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,3,0.2566866578165339
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,6,1.8880782854531974
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,12,1.9314018715855334
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,0,0.20387795289793775
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,1,0.14828774910463682
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,3,-0.5020779856254753
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,6,-0.11678309892568262
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,12,-0.1409990430610195
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,0,0.6860202636813433
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,1,1.017603021698222
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,3,0.6786451998612157
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,6,0.702920595895759
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,12,-0.4477102297696256
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,0,-0.08995750022531679
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,1,0.6596512076524239
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,3,-0.06568210419077358
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,6,-1.586201735041962
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,12,-2.2424869126399165
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,0,-0.31323925826028765
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,1,-0.6742722219678119
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,3,-1.8537567418461838
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,6,-1.272151977048575
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,12,0.13657322896953117
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,0,-1.1516485426500374
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,1,-0.2780100355887878
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,3,0.7364842027653387
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,6,0.5531238283784239
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,12,-0.14091189065085774
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,0,-0.7587836651213038
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,1,1.659000283404539
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,3,0.32407100515808307
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,6,0.033389144063300735
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,12,-0.36888647264785546
GDELT,v3,France,China-France joint statement on climate change,Cultural / people-to-people cooperation,0,0.22602604856188058
