country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source,n_obs,polling_z_pew,n_events_total,n_positive,n_negative,n_neutral,has_negative,has_positive,has_any_event,n_visit_total,n_visit_state_head,n_visit_gov_head,n_visit_china_to_partner,n_visit_partner_to_china,n_visit_third_party,n_conflict,n_cooperative,has_conflict,n_high_level_visit,n_economic_win_win_cooperation,n_multilateral___third_party_meeting,n_strategic_partnership_upgrade,n_sovereignty_dispute
Germany,2012,好感度%（四级题，1-2档）,30.1,65.7,958,Pew Research Center,Pew_2012_21国,1.6595811781347,0.90135904036951,12,1.76207534242607,1.48441714608299,12,0.0422471075783584,3.40882733741992,12,6.34166666666667,0.0514928650544439,12,-0.783703670919462,-0.783703670919462,14,-0.93276500446347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2013,好感度%（四级题，1-2档）,26.8,67.1,963,Pew Research Center,Pew_2013_39国,1.97740076014603,1.1520615507703,12,2.5212124725174,1.48259063766226,12,0.546967796003383,3.73273200033843,12,6.46666666666667,0.049236596391733,12,-1.00250814783409,-1.00250814783409,14,-1.17168435772071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2014,好感度%（四级题，1-2档）,29.2,65,942,Pew Research Center,Pew_2014_44国,2.01424004421856,0.654099159786788,12,2.3676413518369,1.63483471820861,12,1.8027144864931,2.76937307853126,12,6.69166666666667,0.0996204919895622,12,-0.843377619168906,-0.843377619168906,14,-0.997924828079081,2,2,0,0,0,1,1,2,1,0,1,0,0,0,1,0,1,0,0,1,0
Germany,2016,好感度%（四级题，1-2档）,28.7,60.8,895,Pew Research Center,Pew_2016_19国,1.35698344621935,0.708611658908198,12,2.66365954602371,1.27104619615716,12,1.35719984941082,2.80019518361887,12,6.85833333333333,0.0514928650544442,12,-0.876529812640819,-0.876529812640819,14,-1.03412473008775,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Germany,2017,好感度%（四级题，1-2档）,33.2,54.6,880,Pew Research Center,Pew_2017_38国,1.61597305302675,0.813631181761083,12,1.53165914790672,2.03490523705154,12,0.55383113655209,2.25573261853241,12,6.95,0.0674199862463242,12,-0.578160071393601,-0.578160071393601,14,-0.708325612009699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2018,好感度%（四级题，1-2档）,39.4,54.4,939,Pew Research Center,Pew_2018_27国,2.17242406147061,0.551231043175268,12,2.75645506493093,1.41694056314688,12,1.62360409770071,2.60412384512763,12,6.86666666666667,0.049236596391733,12,-0.167072872341877,-0.167072872341877,14,-0.259446827102158,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Germany,2019,好感度%（四级题，1-2档）,32,59.4,1840,Pew Research Center,Pew_2019_34国,1.72227291754723,0.758253268344967,12,1.5633052033914,1.51971300970975,12,4.1,1.95192212959431,3,6.80833333333333,0.0996204919895624,12,-0.657725335726192,-0.657725335726192,14,-0.795205376830514,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
India,2005,好感度%（四级题，1-2档）,56.5,20.8,1578,Pew Research Center,Pew_2005_22国,2.50226955736046,1.17676869991181,12,2.72177412321053,0.710403333136248,12,2.55261148334936,1.07269812228121,12,4.34166666666667,0.328794860978788,12,0.966732144397554,0.966732144397554,12,0.978589821594448,2,1,0,1,0,1,1,2,0,1,1,0,0,0,1,0,1,0,0,1,0
India,2006,好感度%（四级题，1-2档）,47.5,39.6,1768,Pew Research Center,Pew_2006_15国,2.02433427146879,1.16394802611483,12,2.2446937502168,0.584992763834981,12,2.1108860528245,2.00203757595165,12,4.65,0.116774841624229,12,0.369992661903117,0.369992661903117,12,0.32699158543834,3,2,0,1,0,1,1,3,2,0,2,0,0,0,1,0,2,0,0,0,0
India,2008,好感度%（四级题，1-2档）,45.1,44.8,1849,Pew Research Center,Pew_2008_24国,0.580729463292489,0.929788021426195,12,1.53507424093591,0.805489021534479,12,2.28973951049539,1.28975816512936,12,5.1,0,12,0.210862133237933,0.210862133237933,12,0.153232055796711,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
India,2009,好感度%（四级题，1-2档）,45.9,39.5,1741,Pew Research Center,Pew_2009春_25国,0.211594779452117,0.930137936249423,12,0.929093805646624,0.856878270715771,12,0.813650124559899,1.67899015385437,12,5.04166666666667,0.116450015288131,12,0.263905642792994,0.263905642792994,12,0.211151899010587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
