trade,variable,estimate,pvalue,sig,dropped
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0104850405280888,0.0374295669572941,**,BR
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0309911326024827,0.209579539683658,"",BR
Trade_Total,Event_Neutral_x_developed,-0.00752544602892061,0.731131864615837,"",BR
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0255011181702475,0.00800578724381388,***,BR
Trade_Exports,Event_Positive_x_FTA_Dummy,0.121971884624053,0.0076070062340668,***,BR
Trade_Exports,Event_Positive_x_developed,-0.0817927025725494,0.0489225711606514,**,BR
Trade_Exports,Event_Positive_x_us_ally,0.0860650079776534,0.0513284784017087,*,BR
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0346027464533706,6.61527786824224e-09,***,BR
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0665314149899133,0.10971015031874,"",BR
Trade_Exports,Event_Negative_x_developed,0.00620154587091875,0.917295547069874,"",BR
Trade_Exports,Event_Negative_x_us_ally,0.0342426877173461,0.493959480792318,"",BR
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.01015535958301,0.0539419766576367,*,BR
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.020252827678967,0.415531088427592,"",BR
Trade_Exports,Event_Neutral_x_developed,0.000208614318699793,0.991836702755343,"",BR
Trade_Imports,Event_Positive_x_z_trade_dep,0.00323807792848215,0.902431416964264,"",BR
Trade_Imports,Event_Positive_x_FTA_Dummy,0.115992571609454,0.00525832494577933,***,BR
Trade_Imports,Event_Positive_x_developed,-0.101726157742905,0.0381859378842775,**,BR
Trade_Imports,Event_Positive_x_us_ally,0.134532177681351,0.0156720488123473,**,BR
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0429152195080967,0.000712463746724264,***,BR
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0282103389670095,0.329356715478713,"",BR
Trade_Imports,Event_Negative_x_developed,0.208291941160718,0.00835018743611881,***,BR
Trade_Imports,Event_Negative_x_us_ally,-0.0357371762471118,0.487976456797443,"",BR
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0184030186031858,0.0141154799275091,**,BR
