dimension,group,trade,event,horizon,estimate,se,pvalue,n,n_country,sig,ci_lower,ci_upper,trade_label
developed,发展中,Trade_Exports,Event_Positive,6,-0.00293887620644213,0.011253431499554,0.793973917537985,2895,12,"",-0.0249956019455681,0.0191178495326838,出口
developed,发展中,Trade_Exports,Event_Positive,12,-0.0230179999775154,0.0202870359939463,0.256536156501763,2823,12,"",-0.0627805905256502,0.0167445905706194,出口
developed,发展中,Trade_Exports,Event_Negative,0,-0.0226881242888524,0.0227043909992575,0.317657355106081,2967,12,"",-0.0671887306473971,0.0218124820696922,出口
developed,发展中,Trade_Exports,Event_Negative,1,-0.00884042490080485,0.020517867643676,0.666566751401527,2955,12,"",-0.0490554454824099,0.0313745956808002,出口
developed,发展中,Trade_Exports,Event_Negative,3,-0.00335584641533283,0.0228494435335221,0.883236405718099,2931,12,"",-0.0481407557410361,0.0414290629103704,出口
developed,发展中,Trade_Exports,Event_Negative,6,-0.0455465279786502,0.0296204015767096,0.124128289343183,2895,12,"",-0.103602515069001,0.0125094591117005,出口
developed,发展中,Trade_Exports,Event_Negative,12,-0.0324458594224439,0.0258410335531611,0.209263029024983,2823,12,"",-0.0830942851866397,0.0182025663417518,出口
developed,发展中,Trade_Exports,Event_Neutral,0,-0.00437714895315173,0.0105145676914054,0.677195055742966,2967,12,"",-0.0249857016283063,0.0162314037220028,出口
developed,发展中,Trade_Exports,Event_Neutral,1,-0.0112838650586311,0.00977381101175957,0.248295228271522,2955,12,"",-0.0304405346416799,0.00787280452441767,出口
developed,发展中,Trade_Exports,Event_Neutral,3,0.0130626461323427,0.0100008121163203,0.191498649445683,2931,12,"",-0.00653894561564498,0.0326642378803305,出口
developed,发展中,Trade_Exports,Event_Neutral,6,0.0104678110050483,0.018341279157016,0.568186643961032,2895,12,"",-0.025481096142703,0.0464167181527997,出口
developed,发展中,Trade_Exports,Event_Neutral,12,-0.00272482709672864,0.0123742238576733,0.825713948914633,2823,12,"",-0.0269783058577683,0.021528651664311,出口
developed,发达,Trade_Exports,Event_Positive,0,-0.0232202691083193,0.0194277187512922,0.232003677978585,3718,13,"",-0.0612985978608519,0.0148580596442134,出口
developed,发达,Trade_Exports,Event_Positive,1,-0.0435205582048103,0.0204694998763448,0.033493492183126,3705,13,**,-0.0836407779624462,-0.00340033844717449,出口
developed,发达,Trade_Exports,Event_Positive,3,0.0066121566008572,0.0163993550755722,0.686803941962869,3679,13,"",-0.0255305793472643,0.0387548925489787,出口
developed,发达,Trade_Exports,Event_Positive,6,-0.00019255103825356,0.00767740499825213,0.979990974062217,3640,13,"",-0.0152402648348277,0.0148551627583206,出口
developed,发达,Trade_Exports,Event_Positive,12,-0.00486759542598908,0.00887196055225721,0.583246108937883,3562,13,"",-0.0222566381084132,0.012521447256435,出口
developed,发达,Trade_Exports,Event_Negative,0,-0.00591945226525701,0.0116420134113149,0.611133546877863,3718,13,"",-0.0287377985514343,0.0168988940209203,出口
developed,发达,Trade_Exports,Event_Negative,1,-0.00817854888993487,0.013239094638394,0.536735258170446,3705,13,"",-0.0341271743811872,0.0177700766013174,出口
developed,发达,Trade_Exports,Event_Negative,3,0.0131034951768004,0.00960698599612314,0.172581775080238,3679,13,"",-0.00572619737560092,0.0319331877292018,出口
developed,发达,Trade_Exports,Event_Negative,6,0.0276986430261507,0.0077384754350127,0.000344461646059836,3640,13,***,0.0125312311735258,0.0428660548787756,出口
developed,发达,Trade_Exports,Event_Negative,12,-0.0308147922822335,0.0162080775944057,0.0572758602034783,3562,13,*,-0.0625826243672687,0.000953039802801696,出口
developed,发达,Trade_Exports,Event_Neutral,0,0.00315231779895535,0.00703390140353633,0.654037262074514,3718,13,"",-0.0106341289519759,0.0169387645498865,出口
developed,发达,Trade_Exports,Event_Neutral,1,-0.01057264860125,0.0107268962279959,0.324319384671262,3705,13,"",-0.0315973652081219,0.0104520680056219,出口
developed,发达,Trade_Exports,Event_Neutral,3,-0.0149436299507998,0.00875909173169552,0.087994913027487,3679,13,*,-0.032111449744923,0.00222418984332343,出口
developed,发达,Trade_Exports,Event_Neutral,6,-0.00283259217921256,0.00789293625324539,0.719687211080728,3640,13,"",-0.0183027472355735,0.0126375628771484,出口
developed,发达,Trade_Exports,Event_Neutral,12,0.0370828111921827,0.00689899695349285,7.65394104590998e-08,3562,13,***,0.0235607771633367,0.0506048452210286,出口
ever_fta,无FTA,Trade_Exports,Event_Positive,0,-0.0379551274124971,0.0246447159220678,0.123537953491018,4298,16,"",-0.0862587706197499,0.0103485157947557,出口
ever_fta,无FTA,Trade_Exports,Event_Positive,1,-0.0493358176240854,0.0218000404471284,0.0236291125642407,4282,16,**,-0.0920638969004569,-0.00660773834771375,出口
ever_fta,无FTA,Trade_Exports,Event_Positive,3,0.000998426584331438,0.0168201561561294,0.952666219134459,4250,16,"",-0.0319690794816822,0.0339659326503451,出口
ever_fta,无FTA,Trade_Exports,Event_Positive,6,-0.00175951097540685,0.0128047233580123,0.89070586678008,4202,16,"",-0.0268567687571109,0.0233377468062972,出口
ever_fta,无FTA,Trade_Exports,Event_Positive,12,-0.0020479469631451,0.0117428039862467,0.861550983961305,4106,16,"",-0.0250638427761886,0.0209679488498984,出口
ever_fta,无FTA,Trade_Exports,Event_Negative,0,0.00321084236407915,0.0160540772473721,0.841479269958578,4298,16,"",-0.0282551490407702,0.0346768337689285,出口
ever_fta,无FTA,Trade_Exports,Event_Negative,1,0.000794555128117283,0.0184734165969037,0.965692980696043,4282,16,"",-0.035413341401814,0.0370024516580486,出口
ever_fta,无FTA,Trade_Exports,Event_Negative,3,0.0139297647122193,0.0148650218780525,0.34871567791846,4250,16,"",-0.0152056781687637,0.0430652075932022,出口
ever_fta,无FTA,Trade_Exports,Event_Negative,6,0.0388773920612442,0.0152400820173403,0.0107415481865753,4202,16,**,0.00900683130725716,0.0687479528152313,出口
ever_fta,无FTA,Trade_Exports,Event_Negative,12,-0.0302800678822322,0.0162781397962268,0.0628618205616432,4106,16,*,-0.0621852218828367,0.00162508611837225,出口
ever_fta,无FTA,Trade_Exports,Event_Neutral,0,-0.00134526759514607,0.00741402706283712,0.856015182012095,4298,16,"",-0.0158767606383068,0.0131862254480147,出口
ever_fta,无FTA,Trade_Exports,Event_Neutral,1,-0.00323341550713564,0.00843510873242876,0.701476392215205,4282,16,"",-0.019766228622696,0.0132993976084247,出口
ever_fta,无FTA,Trade_Exports,Event_Neutral,3,-0.0124938285092316,0.0144911025319216,0.388592660507837,4250,16,"",-0.040896389471798,0.0159087324533348,出口
ever_fta,无FTA,Trade_Exports,Event_Neutral,6,-0.00298123971205305,0.0170632745742252,0.861302213263937,4202,16,"",-0.0364252578775344,0.0304627784534283,出口
ever_fta,无FTA,Trade_Exports,Event_Neutral,12,0.046355773908698,0.0102361095562469,5.9361284095235e-06,4106,16,***,0.0262929991784541,0.066418548638942,出口
ever_fta,有FTA,Trade_Exports,Event_Positive,0,0.0253398109472902,0.0126430681066422,0.0450437807211678,2387,9,**,0.000559397458271559,0.0501202244363088,出口
ever_fta,有FTA,Trade_Exports,Event_Positive,1,0.0118006663893113,0.0149191837292918,0.428959947768857,2378,9,"",-0.0174409337201006,0.0410422664987233,出口
ever_fta,有FTA,Trade_Exports,Event_Positive,3,0.0187722931066265,0.0117721037804875,0.110792277042412,2360,9,"",-0.00430103030312904,0.0418456165163821,出口
ever_fta,有FTA,Trade_Exports,Event_Positive,6,0.0136183136523391,0.019839904446273,0.492454446436209,2333,9,"",-0.025267899062356,0.0525045263670341,出口
ever_fta,有FTA,Trade_Exports,Event_Positive,12,-0.00147051613237439,0.0204702657729273,0.942731873999295,2279,9,"",-0.0415922370473118,0.038651204782563,出口
ever_fta,有FTA,Trade_Exports,Event_Negative,0,0.0232802836385204,0.0247702112960796,0.347294496059532,2387,9,"",-0.0252693305017957,0.0718298977788364,出口
ever_fta,有FTA,Trade_Exports,Event_Negative,1,0.0142490790001201,0.0209565018658146,0.496545017483474,2378,9,"",-0.0268256646568766,0.0553238226571167,出口
ever_fta,有FTA,Trade_Exports,Event_Negative,3,0.0118114732743139,0.0225404975032647,0.600270745954718,2360,9,"",-0.0323679018320849,0.0559908483807127,出口
ever_fta,有FTA,Trade_Exports,Event_Negative,6,0.0107314748240845,0.0253404009058498,0.671935822804969,2333,9,"",-0.0389357109513811,0.0603986605995501,出口
ever_fta,有FTA,Trade_Exports,Event_Negative,12,0.0156791681805862,0.0181617114058065,0.387967619316842,2279,9,"",-0.0199177861747945,0.0512761225359669,出口
ever_fta,有FTA,Trade_Exports,Event_Neutral,0,-0.00201160815492936,0.0163902487410293,0.902319316011567,2387,9,"",-0.0341364956873468,0.0301132793774881,出口
ever_fta,有FTA,Trade_Exports,Event_Neutral,1,-0.0197918002614255,0.00998991621649386,0.0475713375713403,2378,9,**,-0.0393720360457534,-0.000211564477097519,出口
ever_fta,有FTA,Trade_Exports,Event_Neutral,3,0.0156710193338677,0.0116483176384518,0.178513475350942,2360,9,"",-0.00715968323749793,0.0385017219052332,出口
ever_fta,有FTA,Trade_Exports,Event_Neutral,6,-0.016660496937787,0.0108276275074267,0.123876954748231,2333,9,"",-0.0378826468523433,0.00456165297676927,出口
ever_fta,有FTA,Trade_Exports,Event_Neutral,12,-0.00391303783724371,0.0142986478450334,0.78434216455933,2279,9,"",-0.0319383876135091,0.0241123119390217,出口
trade_dep,高依存,Trade_Exports,Event_Positive,0,0.021672164969847,0.034545712055104,0.530431494786796,2106,8,"",-0.0460374306581569,0.0893817605978508,出口
