h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
4,-0.00217193286951481,0.00196765960717276,0.2696732466724,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
5,0.000693456937588802,0.00251877293401969,0.783073946267755,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
6,0.00244555018500972,0.00298276526214256,0.41227675862083,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
0,0.00099935206926258,0.0033724591120524,0.766980056352855,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
1,-0.000277598197544321,0.00229380033253044,0.903674337106395,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
2,0.00232850906054725,0.00273508801382863,0.394576606439575,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
3,-0.000845743489117694,0.00216831240104369,0.69650188081841,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
4,-0.00284944220565382,0.00175237751147876,0.103940384485567,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
5,0.00226075126353983,0.00266183737629796,0.395703350427553,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
6,0.00362612986941649,0.00309862854918787,0.241905594913693,1163,23,1,ICEWS,Trade_Exports,Pol_CHN_Partner
0,-0.000303696207544678,0.0022285732197954,0.891604811697285,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
1,0.00195531761201762,0.00254017245412925,0.44144356441054,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
2,0.00130766593650968,0.00326024232907212,0.688350398823572,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
3,-0.00237426421528695,0.00284255188676159,0.403572457332265,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
4,-0.00368971786324733,0.00226789471863859,0.103750850220017,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
5,-0.000911006119782712,0.00233912469892284,0.696932538634448,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
6,0.000679546081741939,0.00272181361346663,0.802845152441852,1169,23,1,ICEWS,Trade_Exports,Pol_Partner_CHN
0,0.00538428681268729,0.00354898241121679,0.129232504838187,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
1,0.00483004410232372,0.00391673991337179,0.217508732011938,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
2,0.00535081838434497,0.00368463724958776,0.146446895135248,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
3,0.00130269599990055,0.00359971293346852,0.717435087034611,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
4,7.43333598959386e-05,0.00212017196250379,0.972031847936586,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
5,0.00722608934222828,0.00217112455488364,0.000873870392790948,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
6,0.00535027017960437,0.00176316025774901,0.00240952705801652,1171,23,1,ICEWS,Trade_Imports,Pol_Agg
0,0.00367041430537154,0.00398375321250719,0.356869914491909,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
1,0.00518986904241438,0.0031028518097574,0.0944035842221092,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
2,0.000509660369148003,0.00330050827380233,0.877279568902511,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
3,0.00311576953567089,0.00361708641256785,0.389016056056201,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
4,0.00142111790291076,0.00247529192659674,0.565885697596373,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
5,0.00720476429536626,0.00280919701401642,0.0103263276220665,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
6,0.00548755550740879,0.00304350352079174,0.0713820918922113,1163,23,1,ICEWS,Trade_Imports,Pol_CHN_Partner
0,0.00381052489196271,0.00248571872394745,0.125283974431459,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
1,0.00439174587594156,0.00298177045610341,0.140787393004647,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
2,0.00749169416072398,0.00242973357410274,0.00204691304701377,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
3,0.00154217369739475,0.00250917986443286,0.538810555241832,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
4,-8.37834064062102e-05,0.0026491687856654,0.974770069618616,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
5,0.0061144928765368,0.00239338069270679,0.0106263636459732,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
6,0.00546520630650808,0.00250438569880342,0.02909077430748,1169,23,1,ICEWS,Trade_Imports,Pol_Partner_CHN
0,0.00253470319422717,0.001020476640783,0.0129973299555117,1158,23,1,Phoenix,Trade_Total,Pol_Agg
1,0.00230725669966718,0.00150533881162897,0.125345875026021,1158,23,1,Phoenix,Trade_Total,Pol_Agg
2,0.00117581192066473,0.00115665701136148,0.309362515594253,1158,23,1,Phoenix,Trade_Total,Pol_Agg
3,-0.000864588918780157,0.000734819310333103,0.23935491616419,1158,23,1,Phoenix,Trade_Total,Pol_Agg
4,-0.00155214040948173,0.00136399213881252,0.255145783576164,1158,23,1,Phoenix,Trade_Total,Pol_Agg
5,0.00288131286905001,0.00136927801528677,0.0353560334879778,1158,23,1,Phoenix,Trade_Total,Pol_Agg
6,0.00293438989931284,0.00128620111772365,0.0225224591399868,1158,23,1,Phoenix,Trade_Total,Pol_Agg
0,0.00219957831059684,0.00104413938755019,0.0351527422775284,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
