h,estimate,se,pvalue,n,n_country,db,trade,pol_var,window_id,window_label
2,-0.000234884166277764,0.000738159440577637,0.750331349997841,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
3,-0.000343877748121853,0.000506438700949398,0.497130517674518,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
4,0.000203406245397495,0.000467222728370608,0.663307107050884,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
5,-0.000212998952530297,0.000452066008427213,0.637520901916972,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
6,0.000410419881303355,0.00102652146149838,0.689291918417895,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
0,-6.44875700568176e-05,0.00178721862355799,0.97121646286406,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
1,0.000623200000539834,0.00115170241860689,0.588430386715329,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
2,4.72859007711782e-05,0.000672215541499942,0.943920370559846,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
3,0.000791837187445906,0.00100435188756872,0.430459184819656,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
4,0.000633273773851907,0.000914393907120938,0.488584944587849,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
5,0.000797181639552786,0.00103169849478227,0.439706709914238,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
6,-0.00132112818401453,0.00132685173920581,0.319402557477862,4798,25,Phoenix,Trade_Total,Pol_Partner_CHN,0,Full Sample
0,-0.00238937425227631,0.00103357148211449,0.0207906438455655,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
1,-0.00156328056691685,0.00092226445687134,0.0900667178189656,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
2,-0.00118292964206414,0.000578185357050052,0.0407627690300475,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
3,0.000251620122221308,0.000643814328020019,0.695925001376482,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
4,-0.000408923472117962,0.000543870353701411,0.45212518322903,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
5,-0.000615980713660889,0.000504277772725664,0.221892702951775,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
6,-0.00126372741977398,0.00125598703887328,0.31433726965146,4842,25,Phoenix,Trade_Exports,Pol_Agg,0,Full Sample
0,-0.00104829434651407,0.000900126131373578,0.244177590272691,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
1,-0.00216171327178773,0.000924177642367684,0.0193319748397286,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
2,-0.00121524967825888,0.000717514375667481,0.0903234756012054,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
3,-8.70086045748197e-05,0.000529996603655539,0.869598710168959,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
4,-0.000269021473322892,0.000459053833338499,0.557852199695959,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
5,-0.000484069700169186,0.000614189094491194,0.430612242243593,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
6,6.63913288045831e-05,0.00110750072537673,0.952197858945468,4840,25,Phoenix,Trade_Exports,Pol_CHN_Partner,0,Full Sample
0,0.00153497908034019,0.00110636076425075,0.165315925602775,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
1,0.000439197153007063,0.000805465305241626,0.585566906754482,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
2,-0.000477736151711807,0.000712416952583371,0.502484914390434,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
3,0.000497026380868479,0.000817503609834201,0.543200303719372,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
4,0.000257570399745638,0.00100319407121481,0.797371522794102,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
5,0.000429077060357165,0.000754188063916312,0.569406484256408,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
6,-0.00114117631887904,0.00135449503098737,0.399502251212205,4798,25,Phoenix,Trade_Exports,Pol_Partner_CHN,0,Full Sample
0,-0.00120660681216289,0.00265515735043048,0.649512952185878,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
1,-0.00148712707575489,0.000984903617479925,0.131063474467794,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
2,0.000725811681286886,0.00110413285365291,0.510950100492467,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
3,0.00025917136988406,0.00103330703406009,0.801955298576542,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
4,0.000590596775976699,0.00112783859822359,0.600519472900377,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
5,-1.13430747326832e-05,0.00131793174914442,0.9931329126324,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
