h,estimate,se,pvalue,n,db,pol_var,trade
2,-0.00650333307748303,0.00415677528603236,0.117696910739129,4940,Phoenix,Pol_CHN_Partner,Trade_Exports
3,-0.00462191736469022,0.00358072217176743,0.196780672289103,4915,Phoenix,Pol_CHN_Partner,Trade_Exports
4,-0.0038841805580626,0.0035251967580821,0.27053398008667,4890,Phoenix,Pol_CHN_Partner,Trade_Exports
5,-0.00374396670802356,0.00380023800130271,0.324529429465778,4865,Phoenix,Pol_CHN_Partner,Trade_Exports
6,-0.00204445865913915,0.00385312359753941,0.595697564583331,4840,Phoenix,Pol_CHN_Partner,Trade_Exports
0,0.006237641333655,0.00645291951666285,0.333724712066111,4990,Phoenix,Pol_CHN_Partner,Trade_Imports
1,0.00256027166322866,0.00529534430649239,0.628744420674629,4965,Phoenix,Pol_CHN_Partner,Trade_Imports
2,0.00651557025718968,0.00574278116919512,0.256556767853091,4940,Phoenix,Pol_CHN_Partner,Trade_Imports
3,0.00533650190056378,0.00473267397434729,0.259494356946367,4915,Phoenix,Pol_CHN_Partner,Trade_Imports
4,0.00684178958644285,0.00522557754679241,0.190436578912207,4890,Phoenix,Pol_CHN_Partner,Trade_Imports
5,0.00659587307185895,0.00443779604816501,0.137201168582222,4865,Phoenix,Pol_CHN_Partner,Trade_Imports
6,0.00699340445781642,0.00491526147277654,0.15479588558678,4840,Phoenix,Pol_CHN_Partner,Trade_Imports
0,0.00553548109992881,0.00669360513521128,0.408248098984475,4948,Phoenix,Pol_Partner_CHN,Trade_Total
1,0.00660157668821467,0.0065337953638736,0.312316159363985,4923,Phoenix,Pol_Partner_CHN,Trade_Total
2,0.0058877195935815,0.00590024764807592,0.31833915646416,4898,Phoenix,Pol_Partner_CHN,Trade_Total
3,0.00672467574748029,0.0061080428890396,0.270916571377309,4873,Phoenix,Pol_Partner_CHN,Trade_Total
4,0.00636603431629499,0.00598505060364627,0.287484614395633,4848,Phoenix,Pol_Partner_CHN,Trade_Total
5,0.00593506602298937,0.00561409740378142,0.290433141456003,4823,Phoenix,Pol_Partner_CHN,Trade_Total
6,0.00205994665494671,0.0051345713247025,0.688279097714667,4798,Phoenix,Pol_Partner_CHN,Trade_Total
0,0.00615404202492017,0.00507591168277757,0.225358795843409,4948,Phoenix,Pol_Partner_CHN,Trade_Exports
1,0.00522705413346766,0.0051212098411179,0.307411841145661,4923,Phoenix,Pol_Partner_CHN,Trade_Exports
2,0.00347111039928325,0.00519971149379786,0.50441560385072,4898,Phoenix,Pol_Partner_CHN,Trade_Exports
3,0.00407025087911952,0.00542981500066386,0.453488821177891,4873,Phoenix,Pol_Partner_CHN,Trade_Exports
4,0.00340736209795975,0.00555642762683823,0.539724986697902,4848,Phoenix,Pol_Partner_CHN,Trade_Exports
