window_length,window_id,window_midpoint,db,trade,lag_order,avg_response_lag,immediate_share,peak_lag,sig_lags_count,sum_abs_coef,n,n_country
36,4,2006-07-01,Phoenix,Trade_Total,3,1.5477099026817,0.42458860988069,3,0,0.010027132382908,825,23
36,4,2006-07-01,Phoenix,Trade_Total,6,3.23821021496047,0.211105095262956,4,0,0.0196833771319915,822,23
36,4,2006-07-01,Phoenix,Trade_Total,12,6.59934542587905,0.0948983724044643,10,0,0.0427850235625616,813,23
36,4,2006-07-01,Phoenix,Trade_Exports,3,1.4739710411613,0.453902739967165,0,0,0.0115566796922305,825,23
36,4,2006-07-01,Phoenix,Trade_Exports,6,2.95740814699583,0.259335033070635,0,0,0.0200599949774592,822,23
36,4,2006-07-01,Phoenix,Trade_Exports,12,6.69003061890623,0.120795630090362,10,0,0.0426828382408817,813,23
36,4,2006-07-01,Phoenix,Trade_Imports,3,2.63688546394133,0.0226994938878936,3,0,0.00773686470488114,825,23
36,4,2006-07-01,Phoenix,Trade_Imports,6,4.04628194428419,0.032093674912386,4,0,0.0235793961698443,822,23
36,4,2006-07-01,Phoenix,Trade_Imports,12,7.29227764574438,0.0133667087493971,9,3,0.0606861868220384,813,23
36,4,2006-07-01,Tsinghua,Trade_Total,3,1.61234867377699,0.223447968440615,3,0,0.0162444639130883,396,11
36,4,2006-07-01,Tsinghua,Trade_Total,6,2.99699356367513,0.133629693464439,4,2,0.0314201191631631,396,11
36,4,2006-07-01,Tsinghua,Trade_Total,12,4.86503739739427,0.101919380112264,5,3,0.0476210281430685,392,11
36,4,2006-07-01,Tsinghua,Trade_Exports,3,1.30606903715226,0.241264280649617,1,1,0.0298935900519601,396,11
36,4,2006-07-01,Tsinghua,Trade_Exports,6,2.40441535091542,0.174910593572684,1,1,0.047495944828603,396,11
36,4,2006-07-01,Tsinghua,Trade_Exports,12,3.86167884438135,0.162174525539382,1,1,0.0710473351532143,392,11
36,4,2006-07-01,Tsinghua,Trade_Imports,3,2.19143004979637,0.000401194927767026,3,1,0.0154599502298138,396,11
36,4,2006-07-01,Tsinghua,Trade_Imports,6,3.51769301972576,0.00777043265339599,3,1,0.0327971321934492,396,11
36,4,2006-07-01,Tsinghua,Trade_Imports,12,5.34626611253866,0.039500331157035,5,1,0.0575918916307359,392,11
36,5,2007-07-01,GDELT,Trade_Total,3,0.932346076305673,0.382305975111536,0,0,0.0162573910700397,828,23
36,5,2007-07-01,GDELT,Trade_Total,6,2.02214353235408,0.286940160102103,0,0,0.0212419754673505,828,23
36,5,2007-07-01,GDELT,Trade_Total,12,4.54055437809755,0.195048257266421,0,0,0.0302979792139952,828,23
36,5,2007-07-01,GDELT,Trade_Exports,3,1.18674560114929,0.315204019065579,1,0,0.0107769469127859,828,23
36,5,2007-07-01,GDELT,Trade_Exports,6,2.25273190056073,0.235256633983035,1,0,0.0145717666248956,828,23
36,5,2007-07-01,GDELT,Trade_Exports,12,6.26613603348974,0.126441826007151,11,0,0.0332933295678047,828,23
36,5,2007-07-01,GDELT,Trade_Imports,3,0.901809763552316,0.427627821860726,0,0,0.0242239587024522,828,23
36,5,2007-07-01,GDELT,Trade_Imports,6,2.32413835274503,0.313400646970077,0,0,0.0328111719056638,828,23
36,5,2007-07-01,GDELT,Trade_Imports,12,6.17312980128995,0.159786429736661,12,1,0.057389407534806,828,23
36,5,2007-07-01,ICEWS,Trade_Total,3,1.51051418258673,0.322575299341654,3,0,0.013526068378473,828,23
36,5,2007-07-01,ICEWS,Trade_Total,6,2.51595637153156,0.210395439201296,4,1,0.0211240421077547,828,23
36,5,2007-07-01,ICEWS,Trade_Total,12,6.70886203219135,0.056994084760367,10,1,0.0438002879335343,828,23
36,5,2007-07-01,ICEWS,Trade_Exports,3,1.62142922523883,0.289732642883337,3,0,0.0191288595538476,828,23
36,5,2007-07-01,ICEWS,Trade_Exports,6,2.92627151682634,0.185504422724705,3,1,0.0316960533480812,828,23
36,5,2007-07-01,ICEWS,Trade_Exports,12,5.70378605904351,0.0887865488842097,3,1,0.0509610467584666,828,23
36,5,2007-07-01,ICEWS,Trade_Imports,3,0.726524495307095,0.592304580917427,0,0,0.00992534127909977,828,23
36,5,2007-07-01,ICEWS,Trade_Imports,6,3.44407259953661,0.1979915344523,4,0,0.0273703496371382,828,23
36,5,2007-07-01,ICEWS,Trade_Imports,12,7.65948687252226,0.019189374985019,10,2,0.0822319746123701,828,23
36,5,2007-07-01,Phoenix,Trade_Total,3,1.90247280523552,0.149800006562562,2,0,0.0136706543051999,828,23
36,5,2007-07-01,Phoenix,Trade_Total,6,3.96314251323401,0.0614740451628221,5,1,0.0345639269797183,828,23
