window_length,lag_order,db,trade,mean_avg_lag,sd_avg_lag,median_avg_lag,mean_peak_lag,n_window
60,12,Phoenix,Trade_Imports,5.88930748165274,1.15522422416017,5.96971397627438,5.27777777777778,18
60,3,Tsinghua,Trade_Total,1.61879178743912,0.370507992220948,1.65690853580628,2,20
60,6,Tsinghua,Trade_Total,2.99389679730219,0.768806023310827,3.01949927225937,3.1,20
60,12,Tsinghua,Trade_Total,6.0066165220935,1.06292800115317,6.10539958545392,6.95,20
60,3,Tsinghua,Trade_Exports,1.49497009555284,0.591188477011431,1.45136125898902,1.3,20
60,6,Tsinghua,Trade_Exports,3.02933363965552,0.951902389401017,2.84197570914487,2.85,20
60,12,Tsinghua,Trade_Exports,5.87257827535691,0.968201668832685,6.07416942086768,5.5,20
60,3,Tsinghua,Trade_Imports,1.71917251221143,0.545076497380868,1.91564215018067,2.05,20
60,6,Tsinghua,Trade_Imports,3.2529028932066,0.567516961690458,3.24725971939535,3.7,20
60,12,Tsinghua,Trade_Imports,5.6955985223267,0.926188637472275,5.52581586497846,4.9,20
84,3,GDELT,Trade_Total,1.41401800560382,0.377908155860847,1.26702671433844,1.16666666666667,18
84,6,GDELT,Trade_Total,3.30340652540909,0.721567032992074,3.33537955259563,4.22222222222222,18
84,12,GDELT,Trade_Total,5.93139400150484,1.26756914338265,5.91322693521173,6.5,18
84,3,GDELT,Trade_Exports,1.75234203951788,0.39295896663188,1.71276150612527,2.16666666666667,18
84,6,GDELT,Trade_Exports,3.47200469953715,0.670440814491593,3.49749012248259,4,18
84,12,GDELT,Trade_Exports,5.83569199806347,0.801793922626201,5.96146292217417,4.88888888888889,18
84,3,GDELT,Trade_Imports,1.32902176304801,0.290484733156834,1.42973572096668,1.44444444444444,18
84,6,GDELT,Trade_Imports,3.00372982430607,0.67142973990836,2.90267093675869,3.22222222222222,18
84,12,GDELT,Trade_Imports,5.6956187924082,1.49783956679938,5.33722944902239,5.66666666666667,18
84,3,ICEWS,Trade_Total,1.69128150472131,0.282749041479409,1.72300350809108,2.11111111111111,18
84,6,ICEWS,Trade_Total,3.1465051449756,0.556717175631149,3.09539703142644,3.05555555555556,18
84,12,ICEWS,Trade_Total,6.08466861484455,0.959385652853595,6.16841671236567,6.05555555555556,18
84,3,ICEWS,Trade_Exports,1.61684363879996,0.418826308324605,1.67323093126235,1.88888888888889,18
84,6,ICEWS,Trade_Exports,3.04695280104492,0.434924642067085,3.00453385115312,2.72222222222222,18
